관리자,우선순위,질문구분,질문내용
TRUE,3,10,1분 자기소개 해주세요.
TRUE,3,10,성격의 장단점을 말해주세요.
TRUE,3,10,지원동기가 무엇인가요?
TRUE,3,10,5년 후 지원자의 모습을 설명해보세요
TRUE,2,10,우리 회사 이외에 지원한 곳은 어디인가요? 둘 다 붙으면 어디가실 건가요?
TRUE,2,10,지원직무가 아닌 다른 직무에서 일하게 된다면 어떻게 하실건가요?
TRUE,1,10,동료직원이나 부서장이 불법을 저지르는 것을 목격한다면 어떻게 하실 건가요?
TRUE,1,10,입사 시 많은 정보를 조사하는데 가장 부정적인 이야기를 소개해 봐라.
TRUE,3,10,어떤 개발자가 되고 싶나요?
TRUE,2,10,비IT 동료와 효과적으로 의사소통하려면 어떻게 해야 합니까?
TRUE,2,10,입사 후 어떤 업무를 하고 싶으신가요?
TRUE,2,10,같이 일하는 사람 중에 너무 안 맞는 사람이 있다면 어떻게 할 건가요?
TRUE,2,10,가이드라인이 주어지지 않는다면 업무를 어떤 식으로 처리할 건가요?
TRUE,2,10,자신의 능력 밖을 벗어난 업무가 주어진다면 어떻게 할 건가요?
TRUE,2,10,하기 싫은 일을 억지로 한 경험이 있나요?
TRUE,2,10,본인만의 스트레스 해소법이 있다면?
TRUE,2,10,자신을 얼마짜리 사람이라고 생각하나요?
TRUE,2,10,살면서 실패했던 경험이 있나요?
TRUE,1,10,여가시간에는 무엇을 하나요?
TRUE,2,10,전공을 선택한 계기는 무엇인가요?
TRUE,2,10,가장 존경하는 인물은 누구인가요?
TRUE,2,10,리더에게 필요한 역량은 무엇이라고 생각하나요?
TRUE,2,10,본인이 희망하는 연봉액수와 그 이유는?
TRUE,3,10,관심있는 분야의 최신 기술 트렌드에 대해 말해보세요
TRUE,1,10,우리 회사에 궁금한 점이나 질문이 있나요?
TRUE,3,10,자신이 속했던 조직의 발전을 위해 특별히 노력했던 적이 있습니까?
TRUE,2,10,자신이 꿈꾸는 직장은 무엇입니까?
TRUE,1,10,주위에서 본인을 어떻게 평가하고 있습니까
TRUE,2,10,고민이 있을 때 주로 누구랑 상의합니까
TRUE,1,10,집에서 먼 곳으로 발령이 난다면 어떻게 하겠는가?
TRUE,2,10,원치 않는 부서에서 일을 해야 한다면 어떻게 하겠습니까?
TRUE,1,10,최근 IT산업의 이슈는 무엇인가요?
TRUE,2,10,우리 회사의 인재상 중에 한 개를 선택하여 사례를 중심으로 자기소개 해주세요.
TRUE,2,10,학창시절에 가장 후회되는 일을 말해 보세요
TRUE,2,10,"우리 회사에 가장 흥미로운 점이 무엇인가요?(서비스, 제품 등)"
TRUE,2,10,마지막으로 질문 있습니까?
TRUE,2,10,입사를 하게 된다면 있었으면 하는 문화가 있을까요?
TRUE,1,21,MMU의 목적에 대해 설명하세요
TRUE,3,21,프로세스와 스레드의 차이에 대해 말해보세요.
TRUE,2,21,교착상태(DeadLock)가 무엇인지와 4가지 조건에 대해 설명하세요.
TRUE,2,21,페이징과 세그먼테이션이란?
TRUE,2,21,뮤텍스와 세마포어가 무엇인지와 차이점을 말해보세요.
TRUE,2,21,사용자 수준 스레드 vs 커널 수준 스레드 차이는?
TRUE,2,21,가상메모리란?
TRUE,3,22,웹 REST 구조에 대해 설명하세요
TRUE,2,22,OAuth에 대해 설명하세요
TRUE,2,22,JWT에 대해 설명하세요
TRUE,2,22,Servlet의 개념과 Dispatcher Servlet에 대해 설명하세요
TRUE,2,22,CI/CD에 대해 설명하세요
TRUE,2,22,본인이 주로 사용하는 백엔드 프로젝트의 구조를 설명하세요.
TRUE,1,23,참조 무결성에 대해 설명하세요.
TRUE,2,23,DB 정규화의 목적에 대해 설명하세요.
TRUE,2,23,DB에서 인덱스의 개념에 대해 설명하세요.
